sentence,label,cleaned
So there is no way for me to plug it in here in the US unless I go by a converter.,0,way plug us unless go converter
"Good case, Excellent value.",1,good case excellent value
Great for the jawbone.,1,great jawbone
Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,0,tie charger conversations last minutesmajor problems
The mic is great.,1,mic great
I have to jiggle the plug to get it to line up right to get decent volume.,0,jiggle plug get line right get decent volume
"If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.",0,several dozen several hundred contact imagine fun send one one
If you are Razr owner...you must have this!,1,razr owneryou must
"Needless to say, I wasted my money.",0,needless say waste money
What a waste of money and time!.,0,waste money time
And the sound quality is great.,1,sound quality great
He was very impressed when going from the original battery to the extended battery.,1,impress go original battery extend battery
If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.,0,two seperated mere ft start notice excessive static garble sound headset
Very good quality though,1,good quality though
"The design is very odd, as the ear ""clip"" is not very comfortable at all.",0,design odd ear clip comfortable
Highly recommend for any one who has a blue tooth phone.,1,highly recommend one blue tooth phone
I advise EVERYONE DO NOT BE FOOLED!,0,advise everyone fool
So Far So Good!.,1,far good
Works great!.,1,work great
It clicks into place in a way that makes you wonder how long that mechanism would last.,0,click place way make wonder long mechanism would last
"I went on Motorola's website and followed all directions, but could not get it to pair again.",0,go motorolas website follow directions could get pair
I bought this to use with my Kindle Fire and absolutely loved it!,1,buy use kindle fire absolutely love
The commercials are the most misleading.,0,commercials mislead
I have yet to run this new battery below two bars and that's three days without charging.,1,yet run new battery two bar thats three days without charge
I bought it for my mother and she had a problem with the battery.,0,buy mother problem battery
Great Pocket PC / phone combination.,1,great pocket pc phone combination
I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.,1,ive own phone months say best mobile phone ive
I didn't think that the instructions provided were helpful to me.,0,didnt think instructions provide helpful
People couldnt hear me talk and I had to pull out the earphone and talk on the phone.,0,people couldnt hear talk pull earphone talk phone
Doesn't hold charge.,0,doesnt hold charge
"This is a simple little phone to use, but the breakage is unacceptible.",0,simple little phone use breakage unacceptible
This product is ideal for people like me whose ears are very sensitive.,1,product ideal people like whose ears sensitive
It is unusable in a moving car at freeway speed.,0,unusable move car freeway speed
I have two more years left in this contract and I hate this phone.,0,two years leave contract hate phone
Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended,1,car charger well ac charger include make sure never run juicehighy recommend
You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.,0,need least mins get phone book time first turn phonebattery life short
It has kept up very well.,1,keep well
Poor Talk Time Performance.,0,poor talk time performance
The case is great and works fine with the 680.,1,case great work fine
worthless product.,0,worthless product
"It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.",1,great camera thats mp pics nice clear great picture quality
I was not impressed by this product.,0,impress product
